,filename,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
330,mAlinIvijayottaratantra-M00160-IAST.txt,M00160,Mālinīvijayottaratantra,,Śāstrī M.R.,,,,,,,Mālinīvijayatantra,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrīmālinīvijayottare tantre trayoviṃśatitamo'dhikāraḥ || samāptaṃ cedaṃ mālinīvijayottaraṃ nāma mahātantram,
331,,M00225,Māheśvaratantra,,,,,,,,,,,,,['tantra / āgama'],,,,,,iti śrīmanmāheśvaratantre uttarakhaṇḍe śivomāsaṃvāde ekapañcāśatamaṃ paṭalam || samāptamidaṃ śrīmāheśvaraṃ tantram,
332,mukuTAgama-M00424-IAST.txt,M00424,Mukuṭāgama,,,,,,,,,,,,,"['tantra / āgama', 'śaiva']",,,,,,iti makuṭasaṃhitāyāṃ sārasaṅgrahe trisahasrassamāptaḥ || hariḥ oṃ || śivakāmasundarīsameta citsabheśvarāya namaḥ || devī sahāyam || śubhamastu ,
333,muNDamAlAtantram 1-M00537-IAST.txt,M00537,Muṇḍamālātantra 1,,Rasika Mohana Caṭṭopādhyāya,,,,,,,,,,,['tantra / āgama'],,,,,,iti muṇḍamālātantre mantrasiddhistotrakavacaṃ nāma daśamaḥ paṭalaḥ || iti prathamaṃ muṇḍamālātantraṃ samāptam,
334,muNDamAlAtantram 2-M00538-IAST.txt,M00538,Muṇḍamālātantra 2,,Rasika Mohana Caṭṭopādhyāya,,,,,,,,,,,['tantra / āgama'],,,,,,iti dvitīye muṇḍamālātantre ṣaṣṭhaḥ paṭalaḥ || samāptaścāyaṃ granthaḥ,
335,mudrAprakAza-M00627-IAST.txt,M00627,Mudrāprakāśa,,,,,,incomplete,lacking explicit+final colophon,,,,,,['śaiva'],Rāma Kiśora,mbP0117,incipit ,,, natvāgurupadaṃrāmakiśoreṇeṣṭasiddhidaṃ sādhakānāṃmudemudrāprakāśoyaṃviracyate,almost at beginning
,,ilxM00052,Mṛgendrapaddhati,,,,,,,,,,,,,,Aghoraśivācārya,mbP0028,incipit ,,,,
336,mRgendrapaddhatiTIkA-M00212-IAST.txt,M00212,Mṛgendrapaddhati Ṭīkā,,,,,,,,colophon,,ilXM00052,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'Paddhati']",Vaktraśambhu,mbP0145,colophon,,,iti lakṣadvayādhyāpakaśrīmadaghoraśivācāryaraci (***) nityārcanavidhiḥ samāptaḥ ////  śrīnaṭeśvareṇa guruṇā vaktrādinā śambhunā śrīmacchaṅkarasūnunā viracitā ṭīkā samāptā || śrīmacchrīmṛgendrarājapaddhatiriti prāptaprathāyāḥ kṛtorādhyasya dīyapāśavipinacchede kuṭhārātmanaḥ || iti mṛgendrapaddhatiṭīkā samāptā,towards beginning /// at end
337,mRgendravRttidIpikA-M00255-IAST.txt,M00255,Mṛgendravṛtti Dīpikā,,,,,,incomplete,lacking explicit+final colophon,colophon,,ilxM00053,sub-commentary to ilxM00105,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Aghoraśivācārya,mbP0028,catalog,,,bhaṭṭanārāyaṇakaṇṭhaviracitamṛgendravṛttyāḥ vyākhyā,
,,ilxM00105,Mṛgendrāgama Vṛtti,,,,,,,,,,ilxM00053,commentary,,,,,,,,,
338,mRgendrAgama-M00037-IAST.txt,M00037,Mṛgendrāgama Dīpikā And Vṛtti,,Dyczkowski Mark S. G.,,,,,,colophon,,"ilxM00053, ilxM00105, M00255",commentary and sub-commentary together in one file,including the mūla,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta']","Aghoraśiva Ācārya, Bhaṭṭa Nārāyaṇa Kaṇṭha","mbP0028, mbP0094 ","colophon, colophon",,,ityaghoraśivācāryaviracitāyāṃ mṛgendravṛttidīpikāyām adhvaprakaraṇaṃ samāptam ///  iti śrībhaṭṭavidyākaṇṭhātmajaśrībhaṭṭanārāyaṇakaṇṭhaviracitāyāṃ mṛgendravṛttau yogapādassamāptaḥ,towards end /// at end
,,ilxM00053,Mṛgendrāgama,,,,,,,,,,,,,,,,,,,,
339,mRtitatvAnusandhAndarzanam-M00644-IAST.txt,M00644,Mṛtitattvānusmaraṇa Bhṛṅgīśasaṃhitā,,,,,,uncertain,? yes - check title,,,,,,['tantra / āgama'],,,,,,itiśrībhṛṅgīśasaṃhitāyāṃbhairavībhairavasaṃvādemṛttitatvānusmaraṇecaturthaḥpaṭalaḥ /// itimantraṃpaṭhitvācadīpāndadyāthāvidhivividhā itiśubham mṛtisandhāna,towards end /// at end
340,mRtyuJjayakalpa-M00413-IAST.txt,M00413,Mṛtyuñjayakalpa,,,,,,uncertain,yes?,,,,,,['tantra / āgama'],,,,,,iti śrī mṛtyuñjayakalpa sarvopadravaphalaśāntikaṃ saṃpāptaṃ + additional text,
341,mRtyuNjayanityArcanavidhi-M00553-IAST.txt,M00553,Mṛtyuṇjayanityārcanavidhi,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,atha śrīgaṇapatyādi caturāyatanāṅgasahita śrīmṛtyuñjayanityārccanapaddhati likhyate,at beginning
342,mRtyuNjayapUjApaddhati-M00554-IAST.txt,M00554,Mṛtyuṇjayapūjāpaddhati,,,,,,uncertain,yes?,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,thvate śanaiścara pāṭhaḥ samāptaḥ || śubhaṃ ||,
343,merutantra-M00195-IAST.txt,M00195,Merutantra,,,,,"MB states ""with ṭippani"", but the commentary doesn't seem to be present",,,,,,,,"['tantra / āgama', 'śaiva']",,,,,,iti śrīmahāmāyāmahākālānumate merutantre śivapraṇīte kārttavīryyārjunamantrakathanaṃ nāma pañcatriṃśattamaḥ prakāśaḥ || samāptaścāyaṃ granthaḥ || śubhamastu ,
,,ilxM00097,Mokṣasopāna,,,,,,,,,,,,,,,,,,,,
344,mokSasopAna-M00315-IAST.txt,M00315,Mokṣasopāna Ṭīkā,,,,,,,,colophon,,ilxM00097,commentary,including the mūla,"['compendium', 'tantric / āgamic literature', 'śākta']",Kāṇḍadvayātītayogī,mbP0067,Catalogus Catalogorum,,,iti mokṣasopānaṭīkā samāptā,
345,mohacUDottara-M00304-IAST.txt,M00304,Mohacūḍottara,,,,,,,,,,,,,"['compendium', 'śaiva']",,,,,,ityāgne ye mahātantre pratiṣṭhā tantraṃ mohacūḍottaram | sampūrṇam + additional text,
346,yantracintAmaNi-M00657-IAST.txt,M00657,Yantracintāmaṇi,,,,,,,,,,,,,['tantric / āgamic literature'],Dāmodara,mbP0068,colophon,,,itiśrīdāmodareṇaśivājñākareṇapaṃḍitarājenaviracitoyaṃtraciṃtāmaṇiḥsamāptaḥ,
,,ilxM00054,Yogakuṇḍalyupaniṣat,,,,,,,,,,,,,,,,,,,,
347,yogakuNDalyupaniSat-M00300-IAST.txt,M00300,Yogakuṇḍalyupaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Yogakuṇḍalī Upaniṣat,ilxM00054,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,iti tṛtīyo'dhyāyaḥ | śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | yogakuṇḍalyupaniṣadvyākhyānaṃ likhitaṃ sphuṭam | kuṇḍalyupaniṣadvyākhyāgranthastu dviśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ṣaḍaśītisaṃkhyāpūrakaṃ yogakuṇḍalyupaniṣadvivaraṇaṃ saṃpūrṇam,
348,yogacintAmaNi-M00536-IAST.txt,M00536,Yogacintāmaṇi,,,,,,,,,,,,,['yoga'],Śivānanda,mbP0021,colophon,Śivānanda Sarasvatī,colophon,iti śrīmatparamahaṃsaparivrājakācāryaśrīrāmacandrasadānandasarasvatīśiṣya śivānandasarasvatīviracite yogacintāmaṇau caturthaḥ paricchedaḥ samāptaścāyaṃ yogacintāmaṇirgranthaḥ,
,,ilxM00055,Yogacūḍāmaṇyupaniṣat,,,,,,,,,,,,,,,,,,,,
349,yogacUDAmaNyupaniSat-M00299-IAST.txt,M00299,Yogacūḍāmaṇyupaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Yogacūḍāmaṇi Upaniṣat,ilxM00055,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ yogacūḍāmaṇeḥ sphuṭam || cūḍāmaṇivivaraṇamaśītyadhiśatadvayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ṣaṭcatvāriṃśatsaṃkhyāpūrakaṃ yogacūḍāmaṇyupaniṣadvivaraṇaṃ saṃpūrṇam,
350,yogajāgama - I00015.txt,I00015,Yogajāgama,version 1,,I00015=M00250,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti yogaje pratiṣṭhātantre parivārasthāpanavidhi paṭalaḥ /// Following sections present: parivārasthāpanam| ācāryalakṣaṇam| vighneśasthāpanam| liṅgasthāpanam| ratnaliṅgasthāpanam| pratimālakṣaṇam| tālasajñkhyai| śilalakṣaṇam| dhvajārohaṇam| maṇḍalavidhānam| phalapākavidhim| pañcākṣaram| vibhavaniścayam| naivedyavidhi| agnikāryam| kuṇḍalakṣaṇam| śāntihomam| dīkṣālakṣaṇam| prāsādalakṣaṇam| liṅgalakṣaṇam|,towards beginning /// list of sections
351,yogajAgama-M00250-IAST.txt,M00250,Yogajāgama,version 2,,I00015=M00250,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti yogaje pratiṣṭhātantre mantrāddhāravidhiḥ paṭalaḥ /// asamāpto'yaṃ granthaḥ,towards beginning /// almost at end
,,ilxM00056,Yogatattvopaniṣat,,,,,,,,,,,,,,,,,,,,
352,yogatattvopaniSat-M00302-IAST.txt,M00302,Yogatattvopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Yogatattva Upaniṣat,ilxM00056,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ yogatattvasya susphuṭam || yogatattvavivaraṇaṃ ṣaṣṭyuttaraśatadvayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ekacatvāriṃśatsaṃkhyāpūrakaṃ yogatattvopaniṣadvivaraṇaṃ saṃpūrṇam,
353,yogapIThakramodaya-M00281-IAST.txt,M00281,Yogapīṭhakramodaya,,,,,,," text complete, MS incomplete ",,Kramodaya,,,,"['tantric / āgamic literature', 'śaiva', 'kaula', 'kaula early pre 1100 AD']",,,,,,1) yogapīṭhe kramodayo nāma saptamaṃ paṭalaḥ samāptaḥ 2) yogapīṭhe kramodayo nāmastotraṃ samāptaṃ /// 3) samāptaṃ śrīkramodayamiti || śrīmatkarālagrahahetunā prakāsitaṃ mahājñānaṃ siddhi mukti phalapradaṃ | yasmina deśitvadaṃśāstraṃ gṛhe vā yatra tiṣṭhati | yogapīṭhantu tadgṛhaṃ || śrīmahādevena likhitamidaṃ pustakaṃ || samvat 307 pauṣaśudī śukravāre + additional text,in middle /// at end
,,ilxM00057,Yogavāsiṣṭha,,,,,,,,,,,,,,Vālmīki,mbP0069,colophon,,,,
354,yogavAsiSTha part 1 with commentary tAtparyaprakAza-M00335-IAST.txt,M00335,Yogavāsiṣṭha Tātparyaprakāśa 1,,Vasudeva Laxmana Sharma Pansikar,,,,,,colophon,,ilxM00057,commentary,including the mūla,['tantric / āgamic literature'],Ānandabodhendra Sarasvatī,mbP0147,catalog,,,ityārṣe śrīvāsiṣṭhamahārāmāyaṇe vālmīkīye vairāgyaprakaraṇe nabhaścaramahīcarasaṃmelanaṃ nāma trayastriṃśaḥ sargaḥ || iti śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe vairāgyaprakaraṇe  nabhaścaramahīcarasaṃmelanaṃ nāma trayastriṃśaḥ sargaḥ || samāptamidaṃ vairāgyaprakaraṇam,
355,yogavAsiSTha part 2 with commentary tAtparyaprakAza-M00336-IAST.txt,M00336,Yogavāsiṣṭha Tātparyaprakāśa 2,,Vasudeva Laxmana Sharma Pansikar,,,,,,colophon,,ilxM00057,commentary,including the mūla,['tantric / āgamic literature'],Ānandabodhendra Sarasvatī,mbP0147,catalog,,,ityārṣe śrīvāsiṣṭhamahārāmāyaṇe dvātriṃśatsāhasryāṃ saṃhitāyāṃ vālmīkīye mokṣopāye mumukṣuvyavahāraprakaraṇe sadācāranirūpaṇaṃ nāma viṃśatitamaḥ sargaḥ || iti śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe mumukṣuvyavahāraprakaraṇe sadācāranirūpaṇaṃ nāma viṃśatitamaḥ sargaḥ || samāptamidaṃ mumukṣuvyavahāraprakaraṇam,
356,yogavAsiSTha part 3 with commentary tAtparyaprakAza-M00337-IAST.txt,M00337,Yogavāsiṣṭhatātparyaprakāśa 3,,Vasudeva Laxmana Sharma Pansikar,,,,,,colophon,,ilxM00057,commentary,including the mūla,['tantric / āgamic literature'],Ānandabodhendra Sarasvatī,mbP0147,colophon,,,ityārṣe śrīvāsiṣṭhamahārāmāyaṇe vālmīkīye devadūtokte mokṣopāyeṣūtpattiprakaraṇe svarūpanirūpaṇaṃ nāma dvāviṃśatyuttaraśatatamaḥ sargaḥ || iti śrīmatparamāhaṃsaparivrājakācāryaśrīmatsarvajñasarasvatīpūjyapādaśiṣyaśrīmadrāmacandrasarasvatīpūjyapādaśiṣyaśrīmadgaṅgādharendrasarasvatīpūjyapādaśiṣyeṇa śrīmadānandabodhendrasarasvatyākhyabhikṣuṇā viracite śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe utpattiprakaraṇe svarūpanirūpaṇaṃ nāma dvāviṃśatyuttaraśatatamaḥ sargaḥ || samāptamidamutpattiprakaraṇam,
357,yogavAsiSTha part 4 with commentary tAtparyaprakAza-M00338-IAST.txt,M00338,Yogavāsiṣṭha Tātparyaprakāśa 4,,Vasudeva Laxmana Sharma Pansikar,,,,,,colophon,,ilxM00057,commentary,including the mūla,['tantric / āgamic literature'],Ānandabodhendra Sarasvatī,mbP0147,colophon,,,ityārṣe śrīvāsiṣṭhamahārāmāyaṇe vālmīkīye devadūtokte dvātriṃśatsāhastryāṃ saṃhitāyāṃ mokṣopāyeṣu sthitiprakaraṇe dviṣaṣṭitamaḥ sargaḥ || iti śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe sthitiprakaraṇe dviṣaṣṭitamaḥ sargaḥ || iti śrīmatparamahaṃsaparivrājakācāryaśrīmatsarvajñasarasvatī(-)śrīmadgaṅgādharendrasarasvatīpūjyapādaśiṣyeṇa śrīmadānandabodhendrasarasvatyākhyabhikṣuṇā viracite śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe sthitiprakaraṇaṃ samāptam || samāptamidaṃ sthitiprakaraṇam,
358,yogavAsiSTha part 5 with commentary tAtparyaprakAza-M00339-IAST.txt,M00339,Yogavāsiṣṭha Tātparyaprakāśa 5,,Vasudeva Laxmana Sharma Pansikar,,,,,,colophon,,ilxM00057,commentary,including the mūla,['tantric / āgamic literature'],Ānandabodhendra Sarasvatī,mbP0147,colophon,,,ityārṣe śrīvāsiṣṭhamahārāmāyaṇe vālmīkīye devadūtokte dvātriṃśatsāhasryāṃ saṃhitāyāṃ mokṣopāyeṣu upaśamaprakaraṇe samadarśanaṃ nāma trinavatitamaḥ sargaḥ || iti śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe upaśamaprakaraṇe samadarśanaṃ nāma trinavatitamaḥ sargaḥ || iti śrīmatparamahaṃsaparivrājakācāryavaryaśrīmatsarvajñasarasvatī(-)śrīmadānandabodhendrasarasvatyākhyabhikṣuṇā viracite śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe upaśamaprakaraṇaṃ saṃpūrṇam || samāptamidaṃ upaśamaprakaraṇam ,
359,yogavAsiSTha part 6 with commentary tAtparyaprakAza-M00345-IAST.txt,M00345,Yogavāsiṣṭha Tātparyaprakāśa 6,,Vasudeva Laxmana Sharma Pansikar,,,,,,colophon,,ilxM00057,commentary,including the mūla,['tantric / āgamic literature'],Ānandabodhendra Sarasvatī,mbP0147,colophon,,,ityārṣe śrīvāsiṣṭhamahārāmāyaṇe vālmīkīye devadūtokte mokṣopāyeṣu nirvāṇaprakaraṇe uttarārdhe bālakāṇḍe dvātriṃśacchatasāhasryāṃ saṃhitāyāṃ ṣoḍaśādhikadviśatatamaḥ sargaḥ || iti śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśe nirvāṇaprakaraṇe uttarārdhe ṣoḍaśādhikadviśatatamaḥ sargaḥ || iti śrīmatparamahaṃsaparivrājakācāryavaryaśrīmatsarvajñasarasvatīpūjyapādaśiṣya(-)śiṣyeṇa śrīmadānandabodhendrasarasvatyākhyabhikṣuṇā viracitaḥ śrīvāsiṣṭhamahārāmāyaṇatātparyaprakāśaḥ saṃpūrṇaḥ || samāptamidaṃ nirvāṇaprakaraṇam | samāpto'yaṃ granthaḥ,
360,yogaviSaya-M00121-IAST.txt,M00121,Yogaviṣaya,,"Bagchi, P. C.",,,,,yes - ? title unclear,,,,,,"['tantric / āgamic literature', 'kaula', 'kaula early pre 1100 AD']",Matsyendranātha,mbP0001,colophon,Macchagnapāda,catalog,iti matsyendranāthaviracitaṃ bhaktisaṃ sampūrṇam,
,,ilxM00058,Yogaśikhopaniṣat,,,,,,,,,,,,,,,,,,,,
361,yogazikhopaniSat-M00301-IAST.txt,M00301,Yogaśikhopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Yogaśikhā Upaniṣat,ilxM00058,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,iti ṣaṣṭho'dhyāyaḥ || śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | yogaśikhopaniṣado vyākhyānaṃ likhitaṃ sphuṭam | śikhopaniṣado vyākhyāgranthaḥ saptaśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe triṣaṣṭisaṃkhyāpūrakaṃ yogaśikhopaniṣadvivaraṇaṃ saṃpūrṇam,
,,ilxM00059,Yogasārasaṃgraha,,,,,,,,,,,,,,,,,,,,
362,yogasArasaMgraha-M00213-IAST.txt,M00213,Yogasārasaṃgraha Vṛtti,,,,,,,,*,,ilxM00059,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'yoga']",Vaktraśambhu,mbP0145 ,catalog,,,iti śrīmadyogasārasaṃgrahe ātmasvarūpanirūpaṇaṃ nāmaṣoḍaśodhyāyaḥ || yamādi ṣoḍaśaparaiḥ kṛtyairātmasthiti kramaḥ | saṃproktaḥ ṣoḍaśādhyāyaiḥ bahusammatibhirdṛḍham || iti || yogasārasaṃgrahaḥ sampūrṇaḥ ,
363,yogasArasamuccaya-M00503-IAST.txt,M00503,Yogasārasamuccaya,,,,,,,,,Akulāgamatantra,,,,['yoga'],,,,,,iti śrī akulāgame mahātantre yogasārasamuccaye īśvarapārvatīsamvāde caturāśramādikathanaṃ nāma navamaḥ paṭalaḥ || śubhaṃ || śubhaṃ bhavatu kalyāṇaṃ ārogyaṃ śukhasaṃpadā | mama śatru vināsāya akulāya namostute || yādṛśaṃ pustakaṃ dṛṣṭvā tādṛśaṃ likhitaṃ mayā | yadi śuddhamasuddhambā mama doṣo na dīyate || samvata 791 vaiśākhe kṛṣṇapakṣe ca navamī ravivāsare || śubhaṃ || vāvuhovapāvidhi bhavāṇāpāke rakṣāpare vāsarajanurajaḍāra kasturagoracandana bhūjapatra śvatevāsaranatāparasatapāvakoṣāse tapaḥ bhayanāsajuyu ||,
364,yoginiitantra-M00064-IAST.txt,M00064,Yoginitantra,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti yoginītantre mahātantrarāje dvāviṃśatisāhasre kāmarūpādhikāre dvitīyabhāge ṣoḍaśaḥ paṭalaḥ || (...) atra paṭalasamāptirnāsti /// ṣoḍaśapaṭalasya kecit ślokāḥ,at end
,,ilxM00060,Yoginīhṛdaya,,,,,,,,,,,,,,,,,,,,
365,yoginIhRdaya-M00115-IAST.txt,M00115,Yoginīhṛdaya Dīpikā,,Gopīnātha Kavirāja,,,,,,colophon,,ilxM00060,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama', 'śākta', 'śrī-vidyā']",Amṛtānanda,mbP0148,colophon,,,iti śrīmatparamayogīndrapuṇyānandaśiṣyāmṛtānandayogipravaraviracitāyāṃ yoginīhṛdayadīpikāyāṃ pūjāsaṃketastṛtīyaḥ || samāptaścāyaṃ granthaḥ,
366,rudrayamalatantra uttarakANDa-M00074-IAST.txt,M00074,Rudrayamalatantra Uttarakāṇḍa,,Malaviya S.,,,,,9 chapters,,,,,,"['tantric / āgamic literature', 'śaiva', 'kaula', 'kaula later post 1100 AD']",,,,,,iti śrīrudrayāmale uttaratantre mahātantroddīpane siddhamantraprakaraṇe | ṣaṭcakraprakāśebhairavībhairavasaṃvāde vārāṇasīpañcapīṭha(---) | prakāśo nāma navatitamaḥ paṭalaḥ,
367,revantapUjA-M00563-IAST.txt,M00563,Revantapūjā,,,,,,incomplete,lacking explicit+colophon; title is unclear,,,,,,"['tantra / āgama', 'Paddhati']",,,,,,atha yavodhakavidhi likṣate,at beginning
,,ilxM00061,Lakṣmītantra,,,,,,,,,,,,,,,,,,,,
368,lakSmItantra-M00206-IAST.txt,M00206,Lakṣmītantra Vṛtti,version 1,,M00206=M00332,exact copy/paste,,,,*,,ilxM00061,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama', 'pāñcarātra']",Paṇḍita Kṛṣṇamācārya,mbP0149,catalog,,,iti śrīpāñcarātrasāre lakṣmītantroddhāre (tantrārthasaṃgrahe) rahasyaśāstrārthasāro nāma saptapañcāśo'dhyāyaḥ || lakṣmītantraṃ samāptam,
369,,M00332,Lakṣmītantra Vṛtti,version 2,,M00206=M00332,exact copy/paste,,,,*,,ilxM00061,commentary,including the mūla,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",Paṇḍita Kṛṣṇamācārya,mbP0149,catalog,,,iti śrīpāñcarātrasāre lakṣmītantroddhāre (tantrārthasaṃgrahe) rahasyaśāstrārthasāro nāma saptapañcāśo'dhyāyaḥ || lakṣmītantram samāptam,
,,ilxM00062,Laghuyogavāsiṣṭha,,,,,,,,,,,,,,Abhinanda,mbP0118,colophon,,,,
370,laghuyogavAsiSTha with commentary vAsiSThacandrikA-M00351-IAST.txt,M00351,Laghuyogavāsiṣṭha Vāsiṣṭhacandrikā,,Vasudeva Sharma Panasikara,,,,,,colophon,,ilxM00062,commentary,including the mūla,['tantric / āgamic literature'],Ātmasukha,mbP0146,Cat. Cat.,,,iti śrītarkavāgīśvarasāhityācāryagauḍamaṇḍalālaṃkāraśrīmadabhinanda(...)bharadvājopākhyāne nirvāṇaprakaraṇe śrīvasiṣṭharāmacandrasaṃvādo nāma aṣṭādaśaḥ sargaḥ || samāpto'yaṃ granthaḥ,
,,ilxM00063,Pañcastavī,,,,,,,,,,,,,,Dharmācārya,mbP0109,colophon ,,,,
371,laghustava-M00306-IAST.txt,M00306,Laghustava Ṭīkā,,,,,,,only 1st chapter of the pañcastavī,colophon,,ilxM00063,commentary,including the mūla,['śākta'],Harabhaṭṭa Sastrī,mbP0129,colophon,,,iti śrīdharmācāryaviracitāyāṃ pañcastavyāṃ laghustave śrīmahāmāheśvarapaṇḍitaharabhaṭṭaśāstrikṛtā ṭīkā sampūrṇā || yatra traipurakandasaṃjñakamanuṃ mūlaṃ vyavaṣṭabdhavān atyarthaṃ kulasundarīmanutaruḥ śākhopaśākhātateḥ | utphullo vividhai rasodbharaphalaiḥ saṃpūrayan svāśritāṃstasmin prāthamike stave vivaraṇaṃ pūrṇaṃ parānugrahāt,
,,ilxM00064,Laghustuti,,,,,,,,,,,,,,Laghubhaṭṭāraka,mbP0070,colophon,,,,
372,laghustuti with commentary by rAgavAnanda-M00355-IAST.txt,M00355,Laghustuti Vṛtti,,,,,,,,colophon,,ilxM00064,commentary,including the mūla,['śākta'],Rāghavānanda,mbP0150,(towards) incipit,,,evamekādhikaślokaviṃśatyā śāradāstutiḥ | laghubhaṭṭārakaiḥ kḷptā bhaktānāṃ bhuktimuktidā || kṛṣṇānandamunīśvarasya kṛpayā turyāśramaṃ yo'śramaṃ prāpyāmnāyaśiro'dhirūḍhamavagamyātmānamapyātmanā | āsādyāpi ca paddhatiṃ śivamayīmānandanāthād gurorānandāntikarāghavo muniragāt tṛptiṃ sa vṛttiṃ vyadhāt || kṛṣṇastrilocana iti tripurendireti brahmeti vā yaduditaṃ paratattvamekam | saccitsukhaikatanave praṇato'smi tasmai sarvātmane sakalabandhavidāraṇāya || samāpto'yaṃ granthaḥ || śubhaṃ bhūyāt ,
,,ilxM00065,Śrīlalitāsahasranāmastotra,,,,,,,,,,,,,,,,,,,,
373,lalitaasahasranaama-M00057-IAST.txt,M00057,Śrīlalitāsahasranāmastotra Bhāṣya,,Vāsudev Lakṣmaṇa Śāstrī Paṇśīkar,,,,,,colophon,,ilxM00065,commentary,including the mūla,"['tantric / āgamic literature', 'śākta']",Bhāskararāya,mbP0062,colophon,,,iti śrīmatpadavākyapramāṇapārāvārapārīṇadhurīṇasarvatantrasvatantra śrīmadgambhīrarāyadīkṣitasūrisūnunā bhāratyupākhyena bhāskararāyeṇa bhāsurānandanāthetidīkṣānāmaśālinā praṇītaṃ saubhāgyabhāskarākhyaṃ brahmāṇḍapurāṇīyaśrīlalitārahasyanāmasahasrabhāṣyaṃ sampūrṇam || sampūrṇo'yaṃ granthaḥ,
